hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,other.op.rev
Blue Mountain Hospital,A,16438327,12773187,201399,945074,1146473,12974553,14636145,-1661592,-12.8065452428303%,969861,-691731,-5.33144378846809%,
Curry General Hospital,A,29547182,16961404,418880,1056386,1475266,18346803,16618566,1728237,9.41982644060657%,486288,2214525,12.0703590701879%,
Good Shepherd Medical Center,A,88162828,57234577,4678986,964609,5643595,60947125,54439445,6507680,10.6775832330073%,284454,6792134,11.144305822465%,
Grande Ronde Hospital,A,57410260,43451342,1670093,2018685,3688778,43886529,42007583,1878946,4.2813729926101%,639372,2518318,5.73824829026693%,
Harney District Hospital,A,14283481,12183899,211162,710617,921779,12361968,13721789,-1359821,-11.0000365637575%,429171,-930650,-7.52833205845542%,
Holy Rosary Medical Center    ,A,105964789,56290000,2737456,5063000,7800456,59462000,58862000,600000,1.00904779523057%,47000,647000,1.08808987252363%,
Lake District Hospital,A,15860274,12034160,197199,531322,728521,12109850,13224992,-1115142,-9.20855336771306%,1064907,-50235,-0.414827599020632%,
Pioneer Memorial Hospital (Heppner),A,5459721,4957011,241806,502710,744516,5143907,5927481,-783574,-15.2330514529131%,1013552,229978,4.47088176360887%,
St. Anthony Hospital,A,70872975,40463000,2877226,2481865,5359091,42403000,39123000,3280000,7.73530174751786%,-502984,2777016,6.54910265783081%,
St. Elizabeth Health Services,A,39447780,25582420,875890,1996114,2872004,26605449,26411667,193782,0.728354556241468%,-67432,126350,0.474902716357089%,
Tillamook County General Hospital,A,62744015,39145000,5060537,1118709,6179246,41239000,38722000,2517000,6.10344576735614%,-111000,2406000,5.83428308154902%,
Wallowa Memorial Hospital,A,17578257,13344525,145321,528096,673417,13750063,14069661,-319598,-2.32433844121296%,516988,197390,1.4355570589022%,
Ashland Community Hospital,B,85594122,44140555,1053983,4911952,5965935,44818855,49712871,-4894016,-10.9195471414877%,505077,-4388939,-9.79261741514816%,
Columbia Memorial Hospital,B,75479663,47427683,1142607,3941146,5083753,48400514,47303946,1096568,2.26561230320818%,-2443116,-1346548,-2.78209442155924%,
Coquille Valley Hospital,B,17894221,12569832,220000,635021,855021,12939213,11968891,970322,7.49908050821947%,671228,1641550,12.6866293954663%,
Cottage Grove Community Hospital*,B,20313094,12391763,1021353,1205533,2226886,12394924,13527446,-1132522,-9.13698220336002%,0,-1132522,-9.13698220336002%,
Lower Umpqua Hospital,B,21690349,14585357,375462,1088437,1463899,15292922,17665524,-2372602,-15.5143797895523%,1813805,-558797,-3.65395834752835%,
Mid-Columbia Medical Center,B,149356182,73754147,5146423,3901314,9047737,76368344,72110579,4257765,5.57530093882879%,251454,4509219,5.9045656404439%,
Mountain View Hospital,B,31565780,19821766,1154224,2015968,3170192,21144850,21538820,-393970,-1.8631960028092%,514676,120706,0.570852950009104%,
Peace Harbor Hospital,B,71477729,48045810,4746662,1460514,6207176,48476245,48059436,416809,0.859821135073478%,480749,897558,1.85154192532858%,
Pioneer Memorial Hospital (Prineville),B,32575750,22016311,160021,1918075,2078096,22656376,23919035,-1262659,-5.57308459216955%,109441,-1153218,-5.09003734754402%,
Providence Hood River Memorial Hospital,B,91967708,55628000,5106474,1144906,6251380,56196000,49131000,7065000,12.572069186419%,-7736140,-671140,-1.19428429069685%,
Providence Newberg Hospital,B,136724750,76414000,6781233,3224464,10005697,79161000,70826000,8335000,10.5291747198747%,-669091,7665909,9.6839466403911%,
Providence Seaside Hospital,B,68669378,39000000,5302415,1964848,7267263,39675000,39841000,-166000,-0.418399495904222%,-741455,-907455,-2.28722117202268%,
Samaritan Lebanon Community Hospital,B,114367427,73649740,3248364,3960539,7208903,75134824,73598640,1536184,2.04456990542761%,-534608,1001576,1.33303832587669%,
Samaritan North Lincoln Hospital,B,80922220,48447136,1349882,4290568,5640450,50436999,48604228,1832771,3.63378281090832%,162581,1995352,3.95612752455791%,
Samaritan Pacific Communities Hospital,B,95393340,58772052,1488215,4183030,5671245,60370354,59584870,785484,1.30110881907368%,265830,1051314,1.74144084031709%,
Santiam Memorial Hospital,B,44729979,28161395,1157445,2845560,4003005,28363028,26435951,1927077,6.79432746038258%,-27248,1899829,6.69825873316488%,
Silverton Hospital,B,158241896,80598176,9688201,4558447,14246648,84301970,83711721,590249,0.700160387710987%,153703,743952,0.882484715363117%,
Southern Coos Hospital and Health Ctr,B,18690389,13007547,281294,1317121,1598415,13042240,14512041,-1469801,-11.2695441887283%,692233,-777568,-5.9619206516672%,
St. Charles Medical Center (Redmond),B,78018012,45699656,4258804,4239671,8498475,46972819,50598578,-3625759,-7.71884480682328%,237179,-3388580,-7.21391662697527%,
West Valley Community Hospital,B,22655797,16041197,674548,1504067,2178615,16183644,17088564,-904920,-5.59157134202903%,30020,-874900,-5.40607541787251%,
Adventist Medical Center,DRG,556661937,221488337,18015391,18560675,36576066,252732000,247832000,4900000,1.93881265530285%,-980000,3920000,1.55105012424228%,
Bay Area Hospital,DRG,253525430,108548043,6718297,9898566,16616863,109940806,110432843,-492037,-0.44754720099105%,3564209,3072172,2.7943873724193%,
Good Samaritan Regional Medical Corvalis,DRG,431274647,254635647,7453017,10162949,17615966,265207209,256296930,8910279,3.35974238166354%,-2027033,6883246,2.59542190649878%,
Legacy Emanuel Hospital,DRG,956418124,488679000,60342417,30035295,90377712,504005000,493896000,10109000,2.00573407009851%,12444688,22553688,4.47489370145138%,
Legacy Good Samaritan Hospital Med Ctr,DRG,510236757,249198000,25784427,8560348,34344775,252226000,250405000,1821000,0.721971565183605%,8460179,10281179,4.07617731716794%,
Legacy Meridan Park Hospital,DRG,277748652,134213000,9785778,5709180,15494958,135050000,118380000,16670000,12.3435764531655%,15620013,32290013,23.9096727138097%,
Legacy Mt. Hood Medical Center,DRG,177835521,81802000,14430123,9602781,24032904,82165000,79444000,2721000,3.31162903912858%,-3184,2717816,3.30775390981561%,
McKenzie-Willamette Medical Center,DRG,232519149,107298882,3557244,13351737,16908981,109196457,103940304,5256153,4.81348309680048%,-5147790,108363,0.0992367362248759%,
Mercy Medical Center,DRG,381861605,149875000,19206159,13154000,32360159,154710000,146229000,8481000,5.48186930385883%,-484621,7996379,5.16862452330166%,
OHSU Hospital,DRG,1527116558,805346401,42381244,47614572,89995816,857618645,820716741,36901904,4.3028336913081%,8955509,45857413,5.34706343750257%,
Providence Medford Medical Center,DRG,342250467,134596000,30143632,6907746,37051378,139291000,137769000,1522000,1.09267648304628%,2183768,3705768,2.66045042393263%,
Providence Milwaukie Hospital,DRG,153131813,79473000,11956775,5006117,16962892,80197000,76498000,3699000,4.61239198473758%,-339360,3359640,4.1892340112473%,
Providence Portland Medical Center,DRG,994205507,515517000,65907474,12918575,78826049,550026000,542057000,7969000,1.44884060026253%,-3431227,4537773,0.82501063586085%,
Providence St. Vincent Medical Center,DRG,1235687474,675426000,65828937,13740321,79569258,695128000,633228000,61900000,8.90483479301654%,-69117723,-7217723,-1.03833006295243%,
Rogue Valley Medical Center,DRG,643286364,302205000,24641367,14184625,38825992,312716000,311335000,1381000,0.441614755880735%,9729,1390729,0.444725885467965%,
Sacred Heart Medical Center*,DRG,776264966,446736142,38845387,18068966,56914353,467658328,412675170,54983158,11.7571215368157%,27575374,82558532,17.6536003011156%,
Salem Hospital,DRG,746749754,422955274,30336451,24757331,55093782,439299121,417924472,21374649,4.86562526037925%,6549646,27924295,6.3565560833435%,
Samaritan Albany General Hospital,DRG,175534211,101550495,1483598,7854578,9338176,108879001,99149034,9729967,8.93649547721328%,-352158,9377809,8.61305569840781%,
Sky Lakes Medical Center,DRG,304730014,141656788,8903803,12857483,21761286,146560024,151025955,-4465931,-3.04716857852043%,-174130,-4640061,-3.16597996736136%,
St. Charles Medical Center (Bend),DRG,584564167,320680123,20977621,17812373,38789994,341173445,329238252,11935193,3.49827724722245%,243412,12178605,3.56962277647371%,
Three Rivers Comm Hos & Health Ctr,DRG,258461838,118863000,10894627,8942572,19837199,120100000,120624000,-524000,-0.436303080766028%,10951,-513049,-0.427184845961699%,
Tuality Healthcare,DRG,337411663,164807800,5431446,16661500,22092946,171668900,171711200,-42300,-0.0246404561338717%,3227100,3184800,1.85519916537008%,
Willamette Falls Hospital,DRG,166801466,88447959,2579528,5750630,8330158,92286060,91675245,610815,0.661871359553111%,183705,794520,0.860931759357806%,
Willamette Valley Medical Center,DRG,195316640,74381836,2256165,7431620,9687785,82445917,64685570,17760347,21.5418151028631%,-9216308,8544039,10.3632045235181%,
